74 0 0
60 0 0
53 0 1
58 0 2
57 0 3
62 0 4
72 0 5
58 0 6
61 0 7
76 0 8
78 0 9
70 0 10
62 0 11
69 0 12
70 0 13
61 0 14
53 0 15
49 0 16
62 0 17
62 0 18
56 0 19
60 0 20
54 0 21
62 0 22
56 0 23
56 0 24
53 0 25
58 0 26
53 0 27
49 0 28
49 0 29
50 0 30
62 0 31
52 0 32
53 0 33
56 0 34
58 0 35
64 0 36
54 0 37
60 0 38
64 0 39
63 0 40
63 0 41
64 0 42
62 0 43
68 0 44
75 0 45
63 0 46
68 0 47
72 0 48
58 0 49
59 0 50
57 0 51
55 0 52
61 0 53
72 0 54
55 0 55
63 0 56
56 0 57
65 0 58
57 0 59
65 0 60
70 0 61
63 0 62
74 0 63
73 0 64
74 0 65
66 0 66
63 0 67
64 0 68
51 0 69
72 0 70
67 0 71
65 0 72
67 0 73
62 0 74
62 0 75
55 0 76
54 0 77
60 0 78
58 0 79
58 0 80
60 0 81
61 0 82
79 0 83
71 0 84
67 0 85
59 0 86
58 0 87
75 0 88
71 0 89
69 0 90
74 0 91
67 0 92
73 0 93
69 0 94
68 0 95
60 0 96
57 0 97
50 0 98
57 0 99
61 1 0
73 1 1
65 1 2
50 1 3
47 1 4
54 1 5
54 1 6
54 1 7
57 1 8
64 1 9
56 1 10
54 1 11
50 1 12
54 1 13
53 1 14
61 1 15
64 1 16
63 1 17
60 1 18
51 1 19
49 1 20
52 1 21
57 1 22
62 1 23
65 1 24
63 1 25
67 1 26
76 1 27
71 1 28
73 1 29
64 1 30
62 1 31
61 1 32
61 1 33
43 1 34
41 1 35
45 1 36
52 1 37
45 1 38
57 1 39
45 1 40
44 1 41
40 1 42
42 1 43
41 1 44
46 1 45
46 1 46
56 1 47
69 1 48
71 1 49
66 1 50
69 1 51
51 1 52
47 1 53
57 1 54
75 1 55
60 1 56
50 1 57
56 1 58
56 1 59
55 1 60
63 1 61
61 1 62
51 1 63
42 1 64
48 1 65
53 1 66
57 1 67
48 1 68
58 1 69
52 1 70
44 1 71
44 1 72
43 1 73
45 1 74
47 1 75
51 1 76
43 1 77
35 1 78
35 1 79
42 1 80
46 1 81
45 1 82
47 1 83
54 1 84
66 1 85
58 1 86
54 1 87
58 1 88
64 1 89
64 1 90
58 1 91
69 1 92
57 1 93
58 1 94
67 1 95
61 1 96
53 1 97
50 1 98
51 1 99
59 2 0
66 2 1
60 2 2
65 2 3
67 2 4
64 2 5
69 2 6
77 2 7
73 2 8
73 2 9
80 2 10
81 2 11
88 2 12
88 2 13
66 2 14
53 2 15
57 2 16
52 2 17
47 2 18
53 2 19
59 2 20
41 2 21
48 2 22
42 2 23
45 2 24
36 2 25
35 2 26
41 2 27
46 2 28
45 2 29
46 2 30
49 2 31
51 2 32
46 2 33
47 2 34
62 2 35
50 2 36
53 2 37
48 2 38
58 2 39
68 2 40
61 2 41
56 2 42
51 2 43
53 2 44
48 2 45
44 2 46
47 2 47
51 2 48
51 2 49
61 2 50
67 2 51
68 2 52
69 2 53
53 2 54
54 2 55
61 2 56
60 2 57
69 2 58
79 2 59
85 2 60
74 2 61
79 2 62
74 2 63
72 2 64
74 2 65
74 2 66
79 2 67
70 2 68
72 2 69
64 2 70
71 2 71
77 2 72
77 2 73
70 2 74
70 2 75
73 2 76
66 2 77
66 2 78
60 2 79
60 2 80
67 2 81
50 2 82
64 2 83
62 2 84
52 2 85
50 2 86
57 2 87
41 2 88
46 2 89
43 2 90
50 2 91
56 2 92
67 2 93
72 2 94
74 2 95
74 2 96
80 2 97
80 2 98
68 2 99
70 3 0
61 3 1
67 3 2
65 3 3
64 3 4
72 3 5
67 3 6
64 3 7
60 3 8
63 3 9
53 3 10
53 3 11
63 3 12
67 3 13
72 3 14
65 3 15
68 3 16
61 3 17
54 3 18
44 3 19
47 3 20
52 3 21
66 3 22
49 3 23
